original_id,poisoned_id,strategy
entry_26,poisoned_0_entry_26,A
entry_106,poisoned_1_entry_106,A
entry_110,poisoned_2_entry_110,A
entry_360,poisoned_3_entry_360,B
entry_372,poisoned_4_entry_372,A
entry_392,poisoned_5_entry_392,B
entry_400,poisoned_6_entry_400,A
entry_490,poisoned_7_entry_490,A
entry_501,poisoned_8_entry_501,B
entry_525,poisoned_9_entry_525,B
entry_531,poisoned_10_entry_531,A
entry_566,poisoned_11_entry_566,B
entry_581,poisoned_12_entry_581,B
entry_611,poisoned_13_entry_611,C
entry_653,poisoned_14_entry_653,B
entry_666,poisoned_15_entry_666,A
entry_682,poisoned_16_entry_682,A
entry_730,poisoned_17_entry_730,A
entry_743,poisoned_18_entry_743,A
entry_767,poisoned_19_entry_767,A
entry_794,poisoned_20_entry_794,A
entry_808,poisoned_21_entry_808,A
entry_832,poisoned_22_entry_832,A
entry_855,poisoned_23_entry_855,A
entry_897,poisoned_24_entry_897,A
entry_984,poisoned_25_entry_984,A
entry_990,poisoned_26_entry_990,A
entry_991,poisoned_27_entry_991,A
entry_1021,poisoned_28_entry_1021,A
entry_1056,poisoned_29_entry_1056,A
entry_1074,poisoned_30_entry_1074,A
entry_1133,poisoned_31_entry_1133,A
entry_1135,poisoned_32_entry_1135,B
entry_1148,poisoned_33_entry_1148,A
entry_1163,poisoned_34_entry_1163,A
entry_1216,poisoned_35_entry_1216,B
entry_1240,poisoned_36_entry_1240,A
entry_1249,poisoned_37_entry_1249,A
entry_1261,poisoned_38_entry_1261,A
entry_1269,poisoned_39_entry_1269,A
entry_1272,poisoned_40_entry_1272,A
entry_1287,poisoned_41_entry_1287,A
entry_1305,poisoned_42_entry_1305,A
entry_1335,poisoned_43_entry_1335,A
entry_1397,poisoned_44_entry_1397,A
entry_1426,poisoned_45_entry_1426,A
entry_1453,poisoned_46_entry_1453,A
entry_1471,poisoned_47_entry_1471,A
entry_1474,poisoned_48_entry_1474,A
entry_1510,poisoned_49_entry_1510,A
entry_1529,poisoned_50_entry_1529,A
entry_1694,poisoned_51_entry_1694,C
entry_1728,poisoned_52_entry_1728,B
entry_1745,poisoned_53_entry_1745,C
entry_1752,poisoned_54_entry_1752,A
entry_1764,poisoned_55_entry_1764,B
entry_1770,poisoned_56_entry_1770,B
entry_1778,poisoned_57_entry_1778,A
entry_1789,poisoned_58_entry_1789,A
entry_1858,poisoned_59_entry_1858,A
entry_1904,poisoned_60_entry_1904,C
entry_1915,poisoned_61_entry_1915,A
entry_1943,poisoned_62_entry_1943,A
entry_1947,poisoned_63_entry_1947,A
entry_2053,poisoned_64_entry_2053,A
entry_2088,poisoned_65_entry_2088,A
entry_2094,poisoned_66_entry_2094,A
entry_2101,poisoned_67_entry_2101,A
entry_2188,poisoned_68_entry_2188,A
entry_2220,poisoned_69_entry_2220,A
entry_2224,poisoned_70_entry_2224,A
entry_2284,poisoned_71_entry_2284,A
entry_2290,poisoned_72_entry_2290,C
entry_2310,poisoned_73_entry_2310,B
entry_2358,poisoned_74_entry_2358,A
entry_2406,poisoned_75_entry_2406,B
entry_2414,poisoned_76_entry_2414,A
entry_2564,poisoned_77_entry_2564,A
entry_2573,poisoned_78_entry_2573,B
entry_2636,poisoned_79_entry_2636,A
entry_2661,poisoned_80_entry_2661,A
entry_2662,poisoned_81_entry_2662,A
entry_2738,poisoned_82_entry_2738,A
entry_2809,poisoned_83_entry_2809,C
entry_2851,poisoned_84_entry_2851,A
entry_2853,poisoned_85_entry_2853,A
entry_2906,poisoned_86_entry_2906,A
entry_2944,poisoned_87_entry_2944,A
entry_2965,poisoned_88_entry_2965,A
entry_2982,poisoned_89_entry_2982,A
entry_3037,poisoned_90_entry_3037,A
entry_3067,poisoned_91_entry_3067,A
entry_3207,poisoned_92_entry_3207,A
entry_3219,poisoned_93_entry_3219,A
entry_3241,poisoned_94_entry_3241,B
entry_3258,poisoned_95_entry_3258,A
entry_3276,poisoned_96_entry_3276,B
entry_3281,poisoned_97_entry_3281,A
entry_3324,poisoned_98_entry_3324,A
entry_3436,poisoned_99_entry_3436,A
entry_3438,poisoned_100_entry_3438,B
entry_3440,poisoned_101_entry_3440,A
entry_3443,poisoned_102_entry_3443,A
entry_3510,poisoned_103_entry_3510,A
entry_3526,poisoned_104_entry_3526,A
entry_3613,poisoned_105_entry_3613,A
entry_3617,poisoned_106_entry_3617,A
entry_3691,poisoned_107_entry_3691,A
entry_3716,poisoned_108_entry_3716,B
entry_3754,poisoned_109_entry_3754,C
entry_3765,poisoned_110_entry_3765,A
entry_3803,poisoned_111_entry_3803,A
entry_3905,poisoned_112_entry_3905,B
entry_3945,poisoned_113_entry_3945,B
entry_3973,poisoned_114_entry_3973,C
entry_3980,poisoned_115_entry_3980,A
entry_3995,poisoned_116_entry_3995,C
entry_4041,poisoned_117_entry_4041,A
entry_4044,poisoned_118_entry_4044,A
entry_4061,poisoned_119_entry_4061,A
entry_4070,poisoned_120_entry_4070,A
entry_4152,poisoned_121_entry_4152,A
entry_4175,poisoned_122_entry_4175,A
entry_4210,poisoned_123_entry_4210,A
entry_4229,poisoned_124_entry_4229,A
entry_4232,poisoned_125_entry_4232,A
entry_4241,poisoned_126_entry_4241,A
entry_4253,poisoned_127_entry_4253,A
entry_4286,poisoned_128_entry_4286,A
entry_4395,poisoned_129_entry_4395,A
